"SYMBOL","ENTREZID"
"FLT1","2321"
"PGF","5228"
"MMP9","4318"
"VEGFA","7422"
"MMP1","4312"
"PPARG","5468"
"MMP2","4313"
"SERPINE1","5054"
"FGFR1","2260"
"CYP19A1","1588"
"MTOR","2475"
"EGFR","1956"
"HIF1A","3091"
"ESR1","2099"
"PIK3CA","5290"
"KDR","3791"
"PAH","5053"
"SHBG","6462"
"STAT1","6772"
"PTGS1","5742"
"CYP1B1","1545"
"DYRK1A","1859"
"TERT","7015"
"BCL2","596"
"NOS1","4842"
"NOS1","340719"
"ABL1","25"
"ABCB1","5243"
"MMP13","4322"
"PPARA","5465"
"KCNH2","3757"
"ACHE","43"
"APP","351"
"F10","2159"
"F10","55795"
"F10","83541"
"ESR2","2100"
"RXRA","6256"
"MET","4233"
"MET","8731"
"MMP14","4323"
"HTR1A","3350"
"GRIN1","2902"
"GRIN1","114787"
"ABCG2","9429"
"PIK3CG","5294"
"SRC","6714"
"MMP7","4316"
"MMP12","4321"
"PLA2G7","7941"
"MAPK14","1432"
"CNR1","1268"
"CNR1","56117"
"CNR1","56144"
"GRM5","2915"
"CNR2","1269"
"CNR2","56142"
"HSP90AA1","3320"
"PLA2G2A","5320"
"CA5A","763"
"MAOB","4129"
"ALOX15","246"
"CA9","768"
"FUT4","2526"
